field,n_works,n_journals,n_authors,first_use,last_use
Psychology,1018,186,2720,2014-01-01,2026-07-13
Neuroscience,565,122,1916,2015-01-01,2026-07-02
Computer Science,337,97,1136,2013-01-01,2026-07-06
Social Sciences,137,37,439,2015-11-11,2026-07-01
Decision Sciences,77,23,251,2016-01-01,2026-06-30
Medicine,71,28,335,2016-05-27,2026-03-19
Arts and Humanities,43,15,135,2018-08-06,2026-07-01
Engineering,40,10,123,2016-12-13,2026-07-02
Mathematics,27,6,89,2018-01-01,2026-05-20
Health Professions,24,6,99,2016-07-05,2026-05-01
"Business, Management and Accounting",13,9,47,2014-01-01,2026-02-16
"Economics, Econometrics and Finance",12,1,41,2018-10-01,2026-07-02
"Biochemistry, Genetics and Molecular Biology",10,4,107,2017-09-21,2026-07-09
Physics and Astronomy,10,4,30,2016-03-31,2024-09-10
Environmental Science,7,2,25,2021-03-17,2024-09-25
Agricultural and Biological Sciences,3,0,9,2019-07-24,2025-05-29
Chemistry,3,1,10,2020-11-02,2026-03-18
Veterinary,2,1,16,2022-12-01,2025-06-06
Nursing,1,0,5,2022-11-04,2023-08-23
